season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id
2019/20,200641,55,53,30,622,1,1,2,7,0,0,0,1,0,0,0,105,110.4,148.3,185.0,44.4,0,0.0,0.0,0.0,0.0,10,Reiss,Nelson,200641_2019/20
2020/21,200641,55,51,2,70,0,0,0,0,0,0,0,0,0,0,0,2,4.2,9.7,10.0,2.4,0,0.0,0.0,0.0,0.0,10,Reiss,Nelson,200641_2020/21
2021/22,200641,50,50,1,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,0,0.0,0.0,0.0,0.0,10,Reiss,Nelson,200641_2021/22
2022/23,200641,50,47,42,202,3,3,1,3,0,0,0,0,0,0,5,127,179.8,121.9,178.0,48.0,0,1.09,0.99,2.08,2.16,10,Reiss,Nelson,200641_2022/23
2023/24,200641,50,48,16,256,0,0,1,1,0,0,0,1,0,0,0,58,42.8,87.7,39.0,16.9,1,0.18,0.43,0.61,2.18,10,Reiss,Nelson,200641_2023/24
2022/23,212314,45,45,15,406,0,0,0,10,0,0,0,1,0,0,0,58,40.8,21.9,19.0,8.2,4,0.13,0.16,0.29,9.68,249,Saša,Lukić,212314_2022/23
2023/24,212314,45,43,43,1113,1,0,5,20,0,0,0,3,0,0,0,157,192.4,155.6,115.0,46.2,13,1.49,0.46,1.95,22.86,249,Saša,Lukić,212314_2023/24
2022/23,491970,45,45,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,0,0.0,0.09,0.09,0.0,315,Bobby,Clark,491970_2022/23
2023/24,491970,45,44,5,86,0,0,0,0,0,0,0,0,0,0,0,7,11.6,5.3,19.0,3.6,1,0.14,0.01,0.15,1.75,315,Bobby,Clark,491970_2023/24
2019/20,243016,55,54,12,348,0,0,0,6,0,0,0,0,0,0,0,35,28.4,73.8,66.0,16.9,0,0.0,0.0,0.0,0.0,329,Alexis,Mac Allister,243016_2019/20
2020/21,243016,55,53,48,1108,1,1,5,14,0,0,0,1,0,0,3,148,170.6,210.6,235.0,61.5,0,0.0,0.0,0.0,0.0,329,Alexis,Mac Allister,243016_2020/21
2021/22,243016,55,51,93,2112,5,2,6,29,0,0,1,4,0,0,8,398,509.6,490.7,550.0,154.9,0,0.0,0.0,0.0,0.0,329,Alexis,Mac Allister,243016_2021/22
2022/23,243016,55,56,140,2882,10,2,10,45,1,0,0,8,0,0,18,567,750.8,746.4,714.0,221.3,31,12.05,4.27,16.32,40.48,329,Alexis,Mac Allister,243016_2022/23
2023/24,243016,60,59,109,2600,5,5,6,34,0,0,0,7,1,0,12,512,712.4,726.7,224.0,166.2,31,3.59,4.89,8.48,37.16,329,Alexis,Mac Allister,243016_2023/24
2022/23,536916,45,45,26,558,1,1,1,12,0,0,0,2,0,0,2,72,90.0,100.9,102.0,28.5,6,1.3,0.39,1.69,11.93,117,Facundo,Buonanotte,536916_2022/23
2023/24,536916,50,47,57,1356,3,1,6,19,0,0,0,7,0,0,1,160,254.8,291.3,238.0,78.4,17,2.34,1.16,3.5,21.14,117,Facundo,Buonanotte,536916_2023/24
2021/22,450539,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,103,Myles,Peart-Harris,450539_2021/22
2023/24,450539,45,45,3,11,0,0,0,0,0,0,0,0,0,0,0,6,2.2,10.9,2.0,1.5,0,0.0,0.0,0.0,0.07,103,Myles,Peart-Harris,450539_2023/24
2022/23,591357,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,602,Ryan,Trevitt,591357_2022/23
2023/24,591357,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,602,Ryan,Trevitt,591357_2023/24
2023/24,505187,45,45,11,71,0,0,0,3,0,0,0,0,0,0,0,38,19.8,27.4,2.0,5.1,0,0.0,0.08,0.08,3.48,158,Cesare,Casadei,505187_2023/24
2013/14,153127,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2013/14
2014/15,153127,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2014/15
2017/18,153127,45,43,41,1365,1,0,3,25,0,0,0,7,0,0,0,171,273.6,164.7,144.0,58.2,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2017/18
2018/19,153127,45,43,69,1857,1,4,7,25,0,0,0,3,1,0,5,306,412.0,298.8,232.0,94.4,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2018/19
2019/20,153127,45,44,73,2220,1,4,8,36,0,0,0,4,1,0,3,309,368.6,227.6,189.0,78.5,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2019/20
2020/21,153127,50,46,40,1942,0,0,4,33,0,0,0,8,0,0,0,211,278.0,117.7,155.0,55.3,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2020/21
2021/22,153127,45,45,28,1000,1,0,0,25,0,0,0,5,0,0,3,124,187.6,33.6,66.0,28.3,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2021/22
2023/24,153127,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,400,Isaac,Hayden,153127_2023/24
2019/20,141746,80,90,117,1187,8,8,9,6,0,0,0,2,0,0,18,366,551.8,479.3,361.0,139.2,0,0.0,0.0,0.0,0.0,366,Bruno,Borges Fernandes,141746_2019/20
