season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
2021/22,111782,40,40,1,90,0,0,0,3,0,0,0,0,0,2,0,14,18.8,0,0,1.9,0,0,0,0,0
2022/23,111782,40,39,10,280,0,0,1,8,0,0,0,0,0,11,1,62,83.2,0,0,8.2,2,0,0,0,8.56
2023/24,111782,40,39,17,405,0,0,0,13,0,1,0,0,0,21,3,107,194.6,0,0,19.5,4,0,0,0,10.03
2023/24,202641,50,50,133,3420,0,0,9,58,0,0,0,5,0,149,10,741,1167.8,33.2,0,120.2,38,0,0.08,0.08,69.64
2007/08,49262,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/09,49262,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/19,49262,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/21,49262,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,49262,40,39,2,90,0,0,0,2,0,0,0,0,0,3,0,17,28.8,0,0,2.9,0,0,0,0,0
2022/23,49262,40,40,65,1350,0,1,6,23,1,1,0,1,0,37,8,332,377.6,13,0,39.1,15,0,0.15,0.15,23.46
2023/24,49262,45,40,42,1530,0,0,2,34,0,0,0,0,0,43,5,300,382.2,0.1,0,38.2,17,0,0,0,24.86
2007/08,40349,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008/09,40349,40,40,8,180,0,0,0,2,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2009/10,40349,40,40,41,1062,0,0,0,23,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0
2010/11,40349,45,44,108,2520,0,0,8,32,0,1,0,3,0,97,5,0,0,0,0,0,0,0,0,0,0
2011/12,40349,50,45,87,1998,0,0,6,31,0,0,0,0,0,84,5,0,0,0,0,0,0,0,0,0,0
2012/13,40349,45,56,144,3420,0,0,12,45,0,0,0,3,0,117,8,0,0,0,0,0,0,0,0,0,0
2013/14,40349,55,54,136,2880,1,0,9,36,0,1,0,1,0,104,9,161,0,0,0,0,0,0,0,0,0
2014/15,40349,50,48,106,3150,0,0,7,43,0,0,0,3,0,87,3,482,0,0,0,0,0,0,0,0,0
2015/16,40349,50,46,55,1399,0,0,4,24,0,0,0,0,0,55,1,293,0,0,0,0,0,0,0,0,0
2016/17,40349,50,46,2,180,0,0,0,5,0,0,0,0,0,1,0,17,13.2,0,0,1.3,0,0,0,0,0
2017/18,40349,45,45,112,3420,0,0,6,61,0,1,0,2,0,111,6,631,790.8,20,0,80.8,0,0,0,0,0
2018/19,40349,45,43,63,2160,0,0,5,47,0,0,0,0,0,59,4,363,440.6,0,0,44.2,0,0,0,0,0
2019/20,40349,45,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,40349,40,40,13,270,0,0,1,8,0,0,0,0,0,11,3,61,81.8,0,0,8.2,0,0,0,0,0
2022/23,40349,40,38,9,90,0,0,1,0,0,0,0,0,0,4,2,30,36,0,0,3.6,1,0,0,0,1.04
2023/24,482158,40,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,457569,45,47,71,1986,0,0,5,38,0,0,0,2,0,75,5,414,567.8,0,0,56.8,22,0,0,0,34.93
2023/24,118342,45,47,119,3285,0,1,7,63,0,0,0,3,0,115,12,685,921.2,40.3,0,96.2,37,0,0.14,0.14,54.01
2021/22,462381,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,462381,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,462381,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012/13,98980,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014/15,98980,45,45,14,302,0,0,2,4,0,0,0,0,0,4,0,57,0,0,0,0,0,0,0,0,0
2016/17,98980,40,39,8,180,0,0,1,3,0,0,0,0,0,5,0,35,30.6,0,0,3.1,0,0,0,0,0
2017/18,98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/19,98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/20,98980,45,44,33,770,0,0,3,9,0,0,0,2,0,34,1,169,256.8,0,0,25.8,0,0,0,0,0
2020/21,98980,45,53,186,3420,0,0,15,46,0,1,0,1,0,142,27,825,1067.2,20,0,108.5,0,0,0,0,0
2021/22,98980,55,55,129,3240,0,0,11,48,0,1,0,4,0,95,7,651,755.8,0,0,75.4,0,0,0,0,0
2022/23,98980,50,50,135,3139,0,0,11,38,1,1,0,7,0,98,15,678,835.2,23,0,85.7,36,0,0.21,0.21,43.46
2023/24,98980,50,52,115,3015,0,0,8,48,2,0,0,4,0,95,19,640,802,20,0,82.2,34,0,0.01,0.01,49.87
2018/19,229600,40,40,9,180,0,0,1,5,0,0,0,0,0,9,1,46,68.2,0,0,6.8,0,0,0,0,0
2019/20,229600,45,42,1,90,0,0,0,3,0,0,0,0,0,2,0,9,15.2,0,0,1.5,0,0,0,0,0
2022/23,229600,45,41,28,1035,0,0,2,32,0,0,0,0,0,36,1,193,290,0,0,29.1,11,0,0,0,19.68
2023/24,229600,40,40,19,360,0,0,2,5,0,0,0,0,0,13,2,79,92.6,0,0,9.3,4,0,0,0,6.96
2013/14,122074,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/19,122074,45,42,15,630,0,0,0,20,0,1,0,1,0,20,0,114,195,0,0,19.4,0,0,0,0,0
2020/21,122074,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/22,122074,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/23,122074,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,122074,40,40,-1,0,0,0,0,0,0,0,0,1,0,0,0,-3,0,0,0,0,0,0,0,0,0
2022/23,79602,40,40,6,180,0,0,0,3,0,0,0,0,0,11,0,45,70.2,0,0,7,2,0,0,0,4.66
2023/24,79602,40,39,18,382,0,0,2,7,0,0,0,0,0,8,1,73,70.8,0,0,7.1,3,0,0,0,7.79
2020/21,82143,45,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/24,82143,45,44,70,2648,0,0,1,79,1,0,0,2,0,133,7,531,966,10,0,97.7,29,0,0.05,0.05,62.03
2019/20,200720,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
