season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,id,first_name,second_name,unique_id,position,points_per_game,value_for_money,scaled_cost,scaled_points
2023/24,226944,5.0,5.0,40,1653,0,1,7,22,0,0,0,7,1,0,1,247,256.2,292.7,44.0,59.1,20,0.13,1.39,1.52,24.68,42,Boubacar,Kamara,226944_2023/24,MID,0.024198427102238355,8.0,0.10638297872340424,0.132013201320132
2023/24,499169,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,597,Myles,Lewis-Skelly,499169_2023/24,MID,,0.0,0.05319148936170215,0.0
2021/22,207283,5.0,4.9,54,1590,0,1,3,30,0,0,0,0,0,0,2,246,253.2,540.6,198.0,99.3,0,0.0,0.0,0.0,0.0,95,Mathias,Jensen,207283_2021/22,MID,0.033962264150943396,11.020408163265305,0.09574468085106386,0.1782178217821782
2022/23,207283,5.0,4.8,132,2805,5,7,10,40,0,0,0,5,0,0,11,498,644.0,787.9,208.0,164.1,37,2.34,4.79,7.13,40.47,95,Mathias,Jensen,207283_2022/23,MID,0.047058823529411764,27.5,0.08510638297872336,0.43564356435643564
2023/24,207283,5.5,5.2,98,2201,3,4,9,45,0,0,0,5,0,0,10,422,481.2,689.3,135.0,130.4,27,0.71,4.89,5.6,36.36,95,Mathias,Jensen,207283_2023/24,MID,0.044525215810995,18.846153846153847,0.12765957446808512,0.32343234323432346
2020/21,490094,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,226,Tim,Iroegbunam,490094_2020/21,MID,,0.0,0.05319148936170215,0.0
2021/22,490094,4.5,4.5,4,90,0,0,1,0,0,0,0,1,0,0,0,17,10.6,2.0,4.0,1.7,0,0.0,0.0,0.0,0.0,226,Tim,Iroegbunam,490094_2021/22,MID,0.044444444444444446,0.8888888888888888,0.05319148936170215,0.013201320132013201
2022/23,490094,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,226,Tim,Iroegbunam,490094_2022/23,MID,,0.0,0.05319148936170215,0.0
2023/24,490094,4.5,4.4,10,157,0,0,0,7,0,0,0,0,0,0,0,29,18.6,4.0,0.0,2.1,1,0.0,0.0,0.0,4.95,226,Tim,Iroegbunam,490094_2023/24,MID,0.06369426751592357,2.2727272727272725,0.042553191489361764,0.033003300330033
2019/20,245923,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,540,Luke,Cundle,245923_2019/20,MID,,0.0,0.05319148936170215,0.0
2020/21,245923,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,540,Luke,Cundle,245923_2020/21,MID,,0.0,0.05319148936170215,0.0
